gvkey,capex_m_lag_w,roaq_lag_w,bk_leverage_lag_w,ppe_lag_w,logatq_lag_w,tobin_q_w,qtr,tran_risk_w_std,tran_risk_pro_w_std,tran_risk_npro_w_std,phy_risk_acute_w_std,phy_risk_chronic_w_std,ticker,company_name,industry_naics
183377,1.047051230625581,.0459643069450024,0,.044529920068591,7.3808017,4.824012540029627,3,0,0,0,0,0,FTNT,FORTINET INC,51
183377,1.807803219688001,.0383217071531228,0,.0488362925139983,7.4425941,3.561912432770551,4,0,0,0,0,0,FTNT,FORTINET INC,51
183528,.6951609370188476,.0630817951812832,.0576505181353704,.0158497394777074,7.0782461,1.139726727570139,1,0,0,0,0,0,GCAP,GAIN CAPITAL HOLDINGS INC,52
183528,.1023706305912789,.0691241141173224,.055864515538965,.0145106421898055,7.1192365,1.095508121763975,2,0,0,0,0,2.2568893,GCAP,GAIN CAPITAL HOLDINGS INC,52
183528,.6893526301348352,.0768274246075094,.0733654168943472,.0170380616563057,7.397809,1.033737952605595,3,0,0,0,0,0,GCAP,GAIN CAPITAL HOLDINGS INC,52
183528,.8515048970720484,.0726607015627629,.0798913858940471,.0193108635918669,7.3217697,1.062779245024793,4,0,0,0,0,0,GCAP,GAIN CAPITAL HOLDINGS INC,52
183581,1.880679279010875,.1093306046688718,.4894889283378492,.1360179388956367,8.5851326,1.638397903732379,1,0,0,0,0,0,KAR,OPENLANE INC,56
183581,.4690273755021956,.1135252733591388,.4747461836242788,.1330070849463151,8.6082029,1.591580622741173,2,.32377589,0,.35250595,0,0,KAR,OPENLANE INC,56
183581,1.172302972755825,.1159927737321439,.493536280233528,.1303690575479566,8.6578588,1.555559416746704,3,0,0,0,0,0,KAR,OPENLANE INC,56
183581,1.603767028078955,.1164279044343726,.5223085654413691,.1304636339823627,8.6528597,1.589738742705204,4,0,0,0,0,0,KAR,OPENLANE INC,56
183593,.1106981892939037,-.9615352671823353,1.008876935917648,.0705139765554554,2.4060438,11.83203735098984,1,0,0,0,0,0,OMER,OMEROS CORP,32
183593,0,-.9615352671823353,.4395215655911681,.0097048497550426,4.3163009,12.48519262581646,2,0,0,0,0,0,OMER,OMEROS CORP,32
183606,0,.014914623550408,.5193309801332902,0,7.5203142,.978781509426312,1,0,0,0,0,0,ARI,APOLLO COMMERCIAL RE FIN INC,52
183606,0,.0130650542387538,.4656059644842613,0,7.6120257,.9636499748439856,2,0,0,0,0,0,ARI,APOLLO COMMERCIAL RE FIN INC,52
183606,0,.0130593120600449,.5342537491889648,0,7.7550979,.8696765333374478,3,0,0,0,0,0,ARI,APOLLO COMMERCIAL RE FIN INC,52
183606,0,.014857774981062,.4361811422804704,0,7.8351059,.920020695286629,4,0,0,0,0,0,ARI,APOLLO COMMERCIAL RE FIN INC,52
183640,16.42137517126348,.0783546406394825,.4438290657979346,.6776821926527341,7.9757986,.7969372653997232,1,.28039378,2.1763167,0,0,0,IRDM,IRIDIUM COMMUNICATIONS INC,51
183640,1.720222938528313,.0732427277323663,.44065491357922,.6760741007331788,8.0001488,.776533776097333,2,.37026525,0,.40312049,0,0,IRDM,IRIDIUM COMMUNICATIONS INC,51
183640,5.843091888679181,.0712633089807145,.4499826550723739,.6914741121302737,8.0378685,.6863418520908405,3,.26988611,0,.2938343,0,0,IRDM,IRIDIUM COMMUNICATIONS INC,51
183640,8.132962274620915,.0707437191853205,.4492735587067485,.6936535868447203,8.0753222,.7735670223423413,4,0,0,0,0,0,IRDM,IRIDIUM COMMUNICATIONS INC,51
183684,1.391295683733853,.1948775353181303,.4077789177413327,.0314560733105723,7.5881829,2.841642113655796,1,0,0,0,0,0,TMH.1,TEAM HEALTH HOLDINGS INC,56
183684,.4978928679581228,.1868929391921366,.40457086132643,.0323488940167423,7.6142325,2.938293603443145,2,0,0,0,0,0,TMH.1,TEAM HEALTH HOLDINGS INC,56
183684,.8567034678136745,.178086648419378,.4000093984356212,.0311148111052652,7.6827469,2.563100869843423,3,0,0,0,0,0,TMH.1,TEAM HEALTH HOLDINGS INC,56
183684,1.433860352146483,.1701797785135968,.3521161246332512,.0349499738594586,7.6705122,1.631755650675402,4,0,0,0,0,0,TMH.1,TEAM HEALTH HOLDINGS INC,56
183704,.2338927829504865,-.1546378239415478,.3703088674858851,.4717999812652752,4.7658339,1.161932779399656,2,.54604006,0,.59449261,0,0,VTNRQ,VERTEX ENERGY INC,42
183736,1.891538488383252,.1777480579049928,.577950983298115,.0896771493013171,7.5403781,2.546449462974904,1,.7432847,0,.80923963,0,0,GNRC,GENERAC HOLDINGS INC,33
183736,.34676517177306,.1648733117945015,.5629802233208059,.0930235587601201,7.5188093,2.185190048878185,2,.61054176,1.5796025,.44314519,0,0,GNRC,GENERAC HOLDINGS INC,33
183736,.7738936544845448,.1468459739907466,.5550091990593075,.0933291724266547,7.5344353,1.825351546790641,3,.42863414,0,.46666873,0,0,GNRC,GENERAC HOLDINGS INC,33
183736,1.074497151043584,.1454091778086876,.5740759989094346,.0969318870100279,7.5162044,1.832896153314116,4,.9657537899999999,0,1.0514493,0,0,GNRC,GENERAC HOLDINGS INC,33
183780,0,.0306340913293456,.789313323002428,.0001379224711609,9.956284500000001,.9922242064613269,1,0,0,0,0,0,TWO,TWO HARBORS INVESTMENT CORP,52
183780,0,.0383334829764137,.789759459508706,.000125841548054,9.9840555,.9787590955001977,2,0,0,0,0,0,TWO,TWO HARBORS INVESTMENT CORP,52
183780,0,.0386569694638246,.766356884950721,.0001571467825213,9.822695700000001,.9694560753583589,3,0,0,0,0,0,TWO,TWO HARBORS INVESTMENT CORP,52
183780,0,.0374268321833497,.7693818489446883,.0001573208185878,9.786128,.951294909113562,4,0,0,0,0,0,TWO,TWO HARBORS INVESTMENT CORP,52
183822,0,.0242619806606874,.8523942762890709,0,9.6980486,.9659268264176091,1,0,0,0,0,0,ARR,ARMOUR RESIDENTIAL REIT INC,52
183822,0,.0220493669661497,.8756261570515804,0,9.672802900000001,.960160227399485,2,0,0,0,0,0,ARR,ARMOUR RESIDENTIAL REIT INC,52
183822,0,.021328349450398,.8875342153533532,0,9.6240177,.9599064544173671,3,0,0,0,0,0,ARR,ARMOUR RESIDENTIAL REIT INC,52
183822,0,.0213582137328924,.8749110541771403,0,9.574733699999999,.9672961607785113,4,0,0,0,0,0,ARR,ARMOUR RESIDENTIAL REIT INC,52
183902,0,.0213038156669963,.7506490543943448,0,8.280294400000001,.9684981620932709,1,0,0,0,0,0,EFC,ELLINGTON FINANCIAL INC,52
183902,0,.0208935744101531,.7195821162960323,0,8.1895256,.956384098618998,2,0,0,0,0,0,EFC,ELLINGTON FINANCIAL INC,52
183902,0,.0213413919332822,.732242778718501,0,8.1533117,.9534921171672586,3,0,0,0,0,0,EFC,ELLINGTON FINANCIAL INC,52
183902,0,.0220999495819648,.710318983661519,0,8.1089039,.9411026305717261,4,0,0,0,0,0,EFC,ELLINGTON FINANCIAL INC,52
183903,3.322287742727548,.0202735291472855,0,.0544107438529959,5.9141002,1.490341318555344,1,0,0,0,0,0,CALX,CALIX INC,33
183903,.470529764654085,.016084743968221,0,.0558869529902098,5.8498521,1.388751231995573,2,0,0,0,0,3.9294248,CALX,CALIX INC,33
183903,1.042101715809818,.0118666096432519,0,.0541501680124957,5.849319,1.412976043797656,3,0,0,0,0,0,CALX,CALIX INC,33
183903,1.712689986685802,.0263207961107113,0,.0537125720662079,5.8410139,1.475015375780367,4,0,0,0,0,0,CALX,CALIX INC,33
183974,3.231374420914008,.0581831380411896,0,.0466044508255564,5.4962459,4.648088062543038,1,0,0,0,0,0,SPSC,SPS COMMERCE INC,51
183974,.9467746897754075,.059858224891808,0,.0489650423299712,5.508862,4.512773380920752,2,0,0,0,0,0,SPSC,SPS COMMERCE INC,51
183974,2.057358123708835,.0594774840023696,0,.0518233397085537,5.5211649,4.613118986701044,3,0,0,0,0,0,SPSC,SPS COMMERCE INC,51
183974,2.602370301609276,.0633751979064979,0,.051720797067349,5.5329032,4.637349186760453,4,0,0,0,0,0,SPSC,SPS COMMERCE INC,51
184009,2.361708559071779,.1785869267777069,.0006137296141778,.047634152788792,6.0754495,5.04482920797695,1,0,0,0,0,0,FNGN,FINANCIAL ENGINES INC,52
184035,9.890005831500707,.0566705132731093,.2962126062146835,.485297717740584,7.8593369,1.781582294848228,1,.73272473,0,.79774261,0,0,SEMG.1,SEMGROUP CORP,42
184035,11.96234203084096,.0547355232763009,.3629818652417597,.512567209532494,7.9647007,.9830694084000712,4,1.0658703,0,1.1604495,0,0,SEMG.1,SEMGROUP CORP,42
184046,0,-.403582918465143,.4541029826383736,.0038878171835584,3.5173495,2.05680139040349,3,0,0,0,0,0,AVEO,AVEO PHARMACEUTICALS INC,32
184068,14.88355146348657,-.1231330768739841,.0099786213670769,.1134743167504478,5.1536961,1.271482807342123,1,0,0,0,0,0,RLOC,REACHLOCAL INC,54
184068,2.388628878488473,-.1453545266067726,.0099474747986745,.1107781206242199,5.061512,1.353154706290123,2,0,0,0,0,0,RLOC,REACHLOCAL INC,54
184101,.2186595146783741,-.1480716592419228,0,.0328391397904011,5.4661469,1.58473381718572,1,0,0,0,0,0,TNAV,TELENAV INC,51
184101,.2747868288331706,-.1429399946146358,0,.0310407946443429,5.4568968,1.670500665410277,2,0,0,0,0,0,TNAV,TELENAV INC,51
184101,.5154265282524566,-.1352381335385026,0,.031823581425675,5.4112978,1.699305710932199,3,0,0,0,0,0,TNAV,TELENAV INC,51
184101,.1080733469690339,-.6839326926389032,0,.0311909696113852,5.3849902,1.339750898326706,4,0,0,0,0,0,TNAV,TELENAV INC,51
184113,.4864864864864865,-.9615352671823353,.0446865443425076,.0147935779816514,3.2642314,4.060655461494207,2,0,0,0,0,0,VUZI,VUZIX CORP,33
184133,1.198845924255488,.0795901492315298,.2592328180345424,.1536972459430517,4.2882376,1.42119932027471,1,0,0,0,0,0,PPSI,PIONEER POWER SOLUTIONS INC,33
184133,.8390799734878933,.0428685423244768,.2379068088414973,.1481311784960569,4.2769995,.9660546729680202,3,.66561425,0,.72467709,0,0,PPSI,PIONEER POWER SOLUTIONS INC,33
184149,1.387643000321162,.2104479127873515,.1368206537036828,.42639359582062,4.486578,1.244615214226289,2,0,0,0,0,0,NAUH,NATIONAL AMERN UNIV HLDG INC,61
184149,1.476068770618238,.1891560849533656,.1397786097245332,.4204797559622851,4.4606528,1.199766503771768,3,0,0,0,0,0,NAUH,NATIONAL AMERN UNIV HLDG INC,61
184149,.1479016454058051,.1457433617570549,.1467272749430274,.428312027005618,4.407414,1.149255262646545,4,0,0,0,0,0,NAUH,NATIONAL AMERN UNIV HLDG INC,61
184167,0,.026326889680148,.0723353808901715,.0226728746880348,9.0606718,1.040966530973289,1,0,0,0,0,0,FIBK,FIRST INTERSTATE BANCSYSTEM,52
184167,.0044367344890833,.0255446054404859,.0688982946909331,.0226003459911436,9.0511742,1.040245695974038,2,0,0,0,0,0,FIBK,FIRST INTERSTATE BANCSYSTEM,52
184167,0,.0253308498648186,.0709131339061303,.022595167452122,9.0343447,1.037634803992781,3,0,0,0,0,0,FIBK,FIRST INTERSTATE BANCSYSTEM,52
184167,.0266627936454788,.0250331940953562,.0654433188099757,.0221262521020904,9.060044299999999,1.042402686649108,4,0,0,0,0,0,FIBK,FIRST INTERSTATE BANCSYSTEM,52
184208,6.567461818894029,.1325040119582634,.2870895815190867,.0813484278655528,5.7477708,1.689233094565289,1,0,0,0,0,0,EVDY,EVERYDAY HEALTH INC,51
184208,.9585602138498394,.0975188101189285,.3367943747124926,.0772073100061534,5.8134556,1.661750196276028,2,0,0,0,0,0,EVDY,EVERYDAY HEALTH INC,51
184208,1.963115415175611,.0966814675257567,.3303003316186034,.07591781014542,5.8329258,1.337050780971196,3,0,0,0,0,0,EVDY,EVERYDAY HEALTH INC,51
184208,3.01034696914658,.0867547192808213,.3194773160056985,.0802354761626065,5.8587012,1.024521669489554,4,0,0,0,0,0,EVDY,EVERYDAY HEALTH INC,51
184254,.024687100647554,.0258991972827343,.6539203843575068,.0015490854869034,10.050995,1.0833038217803,1,.25377864,0,.27629751,0,0,APO,APOLLO GLOBAL MGMT INC,52
184256,1.022047098518638,-.4320366908940579,.5316704296384249,.0894297973392342,5.8096819,8.216562802754575,1,0,0,0,0,0,IRWD,IRONWOOD PHARMACEUTICALS INC,32
184256,.5957788751862747,-.3841602160020032,.5721603257311931,.0899328375795344,5.7220416,3.414724080612777,2,0,0,0,0,0,IRWD,IRONWOOD PHARMACEUTICALS INC,32
184256,.9295383729150847,-.3772455840380219,.5854014352976797,.0382557447843154,6.483017,3.259571716881906,3,0,0,0,0,0,IRWD,IRONWOOD PHARMACEUTICALS INC,32
184256,.4979042451841985,-.2873147667998658,.6238780227769934,.0377926595873015,6.4190598,3.527838968473045,4,0,0,0,0,0,IRWD,IRONWOOD PHARMACEUTICALS INC,32
184258,1.299244044719317,.233157675913751,.3915136655128704,.0781487085876993,6.1747084,1.627280989507511,1,0,0,0,0,13.89141,PLOW,DOUGLAS DYNAMICS INC,33
184258,.2610091103419137,.2197517847639548,.4048030366751857,.0811965535462025,6.1391625,1.5176706645232,2,0,0,0,0,0,PLOW,DOUGLAS DYNAMICS INC,33
184258,.7082699794032329,.2046560046307967,.3894967359272608,.0800971630954931,6.1755366,1.390122469784974,3,0,0,0,0,8.4103479,PLOW,DOUGLAS DYNAMICS INC,33
184258,1.47865926574481,.2117968357952439,.409853155067712,.0787075806324891,6.2573667,1.427865235221156,4,0,0,0,0,0,PLOW,DOUGLAS DYNAMICS INC,33
184263,1.213442133365511,.0027359441644048,.2672878428234534,.0361818440622151,5.5604391,1.490392034319399,1,0,0,0,0,0,QNST,QUINSTREET INC,54
184263,1.560762800216976,-.0042781257864202,.2490664012468559,.0339914818758391,5.5576463,1.741890686463274,2,0,0,0,0,0,QNST,QUINSTREET INC,54
184263,2.194342854497477,-.0011685017169437,.0733550082133822,.0417493285499115,5.3237562,1.603825266840758,3,0,0,0,0,0,QNST,QUINSTREET INC,54
184263,.8603335071873186,-.0005861558082988,.0763075830945922,.0442816215805086,5.2842946,1.35657972516404,4,0,0,0,0,0,QNST,QUINSTREET INC,54
184287,0,.0474466199946973,.1334255254297191,0,7.4303122,.9575525321004588,1,.29985097,0,.32645804,0,0,SLRC,SLR INVESTMENT CORP,52
184287,0,.04582615680546,.134536709387553,0,7.4220185,.9037408933300477,2,.37707675,0,.41053638,0,0,SLRC,SLR INVESTMENT CORP,52
184287,0,.0460017962033198,.1301572646843426,0,7.4551125,.8547843003634088,3,1.1339046,0,1.2345208,0,0,SLRC,SLR INVESTMENT CORP,52
184287,0,.0463629336366549,.1790048434487467,0,7.4187775,.8858248163920263,4,.54585367,0,.5942896600000001,0,0,SLRC,SLR INVESTMENT CORP,52
184392,3.524263016202221,.0964299528037689,.0923850114557414,.0475992215023035,7.392426,1.078699868701151,1,.1833913,0,.19966441,0,0,GDOT,GREEN DOT CORP,52
184392,.8711290680200043,.1155269962417692,.0837661128288201,.0463050368744956,7.4521408,1.176696959508142,2,.20688476,0,.22524254,0,0,GDOT,GREEN DOT CORP,52
184392,1.452932292612511,.0984685008557138,.0833073154330179,.0460546856237091,7.4178925,1.145203165352809,3,1.9201025,0,2.0904815,0,0,GDOT,GREEN DOT CORP,52
184392,2.243863778279456,.0827787761420702,.0875046915660924,.0513268833474546,7.3273516,1.097343128491092,4,1.9738338,0,2.1489806,0,0,GDOT,GREEN DOT CORP,52
184442,21.54364653160994,.1756585081392759,.4546670052532563,.8734297990775985,8.689196600000001,.8506544213670013,1,0,0,0,0,0,CHRD,CHORD ENERGY CORP,21
184442,6.047290083611578,.1379033637299499,.3997000475076885,.8934090075699626,8.6855745,.8909827432272716,2,.4696843,0,.51136142,0,0,CHRD,CHORD ENERGY CORP,21
184442,9.927940757185686,.1083923648007099,.4071624631824856,.8934090075699626,8.662838900000001,.7077082493465625,3,0,0,0,0,0,CHRD,CHORD ENERGY CORP,21
184442,12.80500877257893,.0808567229094856,.4157126817520298,.8934090075699626,8.652616500000001,.6632358659143711,4,0,0,0,0,0,CHRD,CHORD ENERGY CORP,21
184487,.240109997715181,.0590828392843436,.5997890905659061,.0031061953620441,6.1891117,1.760142862780694,1,0,0,0,0,0,PTXTQ,PERNIX THERAPEUTICS HOLDINGS,32
184487,.0457517546721158,.064543624891941,.6482300011839457,.0036570767065262,6.1227164,1.37894979901119,2,0,0,0,0,6.2163444,PTXTQ,PERNIX THERAPEUTICS HOLDINGS,32
184487,.1591749213991607,.0918874088758494,.5352302006969342,.0033938650983216,6.4243841,1.131666655526666,3,0,0,0,0,0,PTXTQ,PERNIX THERAPEUTICS HOLDINGS,32
184498,.5185691994994228,.0700751948418657,.6779230923247553,.011663348383715,9.3158417,1.078713879393481,1,0,0,0,0,0,NSM,NATIONSTAR MORTGAGE HOLDINGS,52
184498,.1079218100052418,.0620348409477318,.6730158463983962,.0104307199410743,9.444808999999999,1.003786934655728,2,0,0,0,0,0,NSM,NATIONSTAR MORTGAGE HOLDINGS,52
184498,.2139709902448655,.0646043008733149,.7485181280169509,.0077449976482988,9.7597036,.9896432182070254,3,.75653249,0,.82366294,0,0,NSM,NATIONSTAR MORTGAGE HOLDINGS,52
184498,.2544178758621581,.046195537209267,.7582020597595579,.0080923569608157,9.743139299999999,.981808452228194,4,.61445248,0,.66897553,0,0,NSM,NATIONSTAR MORTGAGE HOLDINGS,52
184500,13.6627384318661,.4563220077610203,0,.1869492395174797,5.9503846,13.09964504772523,1,0,0,0,0,0,CBOE,CBOE GLOBAL MARKETS INC,52
184500,1.963006087506935,.4563220077610203,0,.1799881318903557,5.929049,13.43385279018197,2,0,0,0,0,0,CBOE,CBOE GLOBAL MARKETS INC,52
184500,4.692959230648461,.4563220077610203,0,.1852536114816257,5.8919454,14.25920854312451,3,0,0,0,0,0,CBOE,CBOE GLOBAL MARKETS INC,52
184500,7.437263365450734,.4563220077610203,0,.1588650769087538,5.9849911,14.15691263760824,4,0,0,0,0,0,CBOE,CBOE GLOBAL MARKETS INC,52
184514,2.361906044486342,.0536791096180107,.2179431612751098,.0322550219517399,6.0987368,2.622463096771376,1,0,0,0,0,0,BSFT.1,BROADSOFT INC,51
184514,.6272246488283049,.0726747962626798,.2149948700037111,.0346591281189286,6.1270657,2.665436729743255,2,0,0,0,0,0,BSFT.1,BROADSOFT INC,51
184514,1.87081141260451,.0617099661006978,.2119653262538274,.0383485016836445,6.1561227,2.061022504026249,3,0,0,0,0,0,BSFT.1,BROADSOFT INC,51
184514,2.292852356678174,.0566390425545355,.3182412724494549,.031266382150782,6.3661389,2.296930317670931,4,0,0,0,0,0,BSFT.1,BROADSOFT INC,51
184526,11.47683481586649,.1256458033370035,.369836344831782,.5750593173936849,4.1858292,2.629036769374982,1,0,0,0,0,0,PRMW.1,PRIMO WATER CORP -OLD,31
184526,6.112606210879623,.1617381250320154,.3213807211905551,.5342803221298604,4.2400742,3.526660967635502,3,0,0,0,0,0,PRMW.1,PRIMO WATER CORP -OLD,31
184526,8.024433463472262,.1785528004764564,.3221452353099973,.5438075527160383,4.1998749,3.7799700954172,4,0,0,0,0,0,PRMW.1,PRIMO WATER CORP -OLD,31
184542,5.859718782619374,-.3306286604488712,0,.1201696205284332,4.5214624,6.146081062058063,1,0,0,0,0,0,GNMK,GENMARK DIAGNOSTICS INC,33
184542,.4468848537566597,-.3638108460292524,.1028922890339906,.122946648041668,4.5255747,4.837742325125274,2,0,0,0,0,0,GNMK,GENMARK DIAGNOSTICS INC,33
184542,2.428829765346674,-.3886660508962547,.116005118576366,.1413707738856931,4.4262466,4.630596104688129,3,0,0,0,0,0,GNMK,GENMARK DIAGNOSTICS INC,33
184542,3.429924536876472,-.4205505751338697,.12708422541425,.1499604240466088,4.3446751,4.984869316654167,4,0,0,0,0,0,GNMK,GENMARK DIAGNOSTICS INC,33
184551,6.413994169096211,-.0265306739653113,0,.0916727457612132,4.9105277,2.50599460105011,1,0,0,0,0,0,MXL,MAXLINEAR INC,33
184551,.754544583710974,-.0313135616768242,0,.0795991774374775,4.9523635,2.395543484988255,2,0,0,0,0,0,MXL,MAXLINEAR INC,33
